,Unnamed: 0.1,Unnamed: 0,sentence,adjectives,transparency,polarity,negation,gender,roberta_large_mnli_contradiction_scores,roberta_large_mnli_entailment_scores,deberta_large_mnli_contradiction_scores,deberta_large_mnli_entailment_scores
0,0,0,He is old. He is old.,old-young,n,pp,n,mm,-1.0,-1.0,-1.0,-1.0
1,1,1,He is young. He is young.,old-young,n,mm,n,mm,-1.0,-1.0,-1.0,-1.0
2,2,2,He is old. He is young.,old-young,n,pm,n,mm,-1.0,-1.0,-1.0,-1.0
3,3,3,He is young. He is old.,old-young,n,mp,n,mm,-1.0,-1.0,-1.0,-1.0
4,4,4,He is not old. He is old.,old-young,n,pp,y,mm,-1.0,-1.0,-1.0,-1.0
5,5,5,He is not young. He is young.,old-young,n,mm,y,mm,-1.0,-1.0,-1.0,-1.0
6,6,6,He is not old. He is young.,old-young,n,pm,y,mm,0.7902985215187073,0.7785621285438538,0.7396936416625977,0.4756520688533783
7,7,7,He is not young. He is old.,old-young,n,mp,y,mm,0.9555978178977966,0.8904141783714294,0.9198601245880128,0.9055067300796508
8,8,8,She is old. She is old.,old-young,n,pp,n,ff,-1.0,-1.0,-1.0,-1.0
9,9,9,She is young. She is young.,old-young,n,mm,n,ff,-1.0,-1.0,-1.0,-1.0
10,10,10,She is old. She is young.,old-young,n,pm,n,ff,-1.0,-1.0,-1.0,-1.0
11,11,11,She is young. She is old.,old-young,n,mp,n,ff,-1.0,-1.0,-1.0,-1.0
12,12,12,She is not old. She is old.,old-young,n,pp,y,ff,-1.0,-1.0,-1.0,-1.0
13,13,13,She is not young. She is young.,old-young,n,mm,y,ff,-1.0,-1.0,-1.0,-1.0
14,14,14,She is not old. She is young.,old-young,n,pm,y,ff,0.7847488522529602,0.8045921325683594,0.7187601923942566,0.4884865581989288
15,15,15,She is not young. She is old.,old-young,n,mp,y,ff,0.9537944197654724,0.8948485851287842,0.94345885515213,0.9121021032333374
16,16,16,He is quiet. He is quiet.,quiet-restless,n,pp,n,mm,-1.0,-1.0,-1.0,-1.0
17,17,17,He is restless. He is restless.,quiet-restless,n,mm,n,mm,-1.0,-1.0,-1.0,-1.0
18,18,18,He is quiet. He is restless.,quiet-restless,n,pm,n,mm,-1.0,-1.0,-1.0,-1.0
19,19,19,He is restless. He is quiet.,quiet-restless,n,mp,n,mm,-1.0,-1.0,-1.0,-1.0
20,20,20,He is not quiet. He is quiet.,quiet-restless,n,pp,y,mm,-1.0,-1.0,-1.0,-1.0
21,21,21,He is not restless. He is restless.,quiet-restless,n,mm,y,mm,-1.0,-1.0,-1.0,-1.0
22,22,22,He is not quiet. He is restless.,quiet-restless,n,pm,y,mm,0.9638480544090271,0.7688006162643433,0.9571769833564758,0.8255751132965088
23,23,23,He is not restless. He is quiet.,quiet-restless,n,mp,y,mm,0.574391782283783,0.9340929388999939,0.6911656260490417,0.6536068916320801
24,24,24,She is quiet. She is quiet.,quiet-restless,n,pp,n,ff,-1.0,-1.0,-1.0,-1.0
25,25,25,She is restless. She is restless.,quiet-restless,n,mm,n,ff,-1.0,-1.0,-1.0,-1.0
26,26,26,She is quiet. She is restless.,quiet-restless,n,pm,n,ff,-1.0,-1.0,-1.0,-1.0
27,27,27,She is restless. She is quiet.,quiet-restless,n,mp,n,ff,-1.0,-1.0,-1.0,-1.0
28,28,28,She is not quiet. She is quiet.,quiet-restless,n,pp,y,ff,-1.0,-1.0,-1.0,-1.0
29,29,29,She is not restless. She is restless.,quiet-restless,n,mm,y,ff,-1.0,-1.0,-1.0,-1.0
30,30,30,She is not quiet. She is restless.,quiet-restless,n,pm,y,ff,0.9641674757003784,0.8027001023292542,0.9674603939056396,0.8292931914329529
31,31,31,She is not restless. She is quiet.,quiet-restless,n,mp,y,ff,0.5761382579803467,0.9402667880058289,0.7296190857887268,0.653837263584137
32,32,32,He is lucky. He is lucky.,lucky-unlucky,y,pp,n,mm,-1.0,-1.0,-1.0,-1.0
33,33,33,He is unlucky. He is unlucky.,lucky-unlucky,y,mm,n,mm,-1.0,-1.0,-1.0,-1.0
34,34,34,He is lucky. He is unlucky.,lucky-unlucky,y,pm,n,mm,-1.0,-1.0,-1.0,-1.0
35,35,35,He is unlucky. He is lucky.,lucky-unlucky,y,mp,n,mm,-1.0,-1.0,-1.0,-1.0
36,36,36,He is not lucky. He is lucky.,lucky-unlucky,y,pp,y,mm,-1.0,-1.0,-1.0,-1.0
37,37,37,He is not unlucky. He is unlucky.,lucky-unlucky,y,mm,y,mm,-1.0,-1.0,-1.0,-1.0
38,38,38,He is not lucky. He is unlucky.,lucky-unlucky,y,pm,y,mm,0.9130115509033203,0.693748414516449,0.9670267701148988,0.8529509902000427
39,39,39,He is not unlucky. He is lucky.,lucky-unlucky,y,mp,y,mm,0.36859673261642456,0.6403299570083618,0.1452037543058395,0.7057915925979614
40,40,40,She is lucky. She is lucky.,lucky-unlucky,y,pp,n,ff,-1.0,-1.0,-1.0,-1.0
41,41,41,She is unlucky. She is unlucky.,lucky-unlucky,y,mm,n,ff,-1.0,-1.0,-1.0,-1.0
42,42,42,She is lucky. She is unlucky.,lucky-unlucky,y,pm,n,ff,-1.0,-1.0,-1.0,-1.0
43,43,43,She is unlucky. She is lucky.,lucky-unlucky,y,mp,n,ff,-1.0,-1.0,-1.0,-1.0
44,44,44,She is not lucky. She is lucky.,lucky-unlucky,y,pp,y,ff,-1.0,-1.0,-1.0,-1.0
45,45,45,She is not unlucky. She is unlucky.,lucky-unlucky,y,mm,y,ff,-1.0,-1.0,-1.0,-1.0
