sentence,adjectives,transparency,polarity,negation,gender,roberta_large_sentence_surprisal,bert_large_cased_sentence_surprisal,xlnet_large_cased_sentence_surprisal,gpt2_large_sentence_surprisal
He is old. She too is old.,old-young,n,pp,n,mf,4.093154907,8.023456097,119.8139954,28.97496605
He is young. She too is young.,old-young,n,mm,n,mf,3.611377716,6.825741768,117.2683182,29.25154114
He is old. She too is young.,old-young,n,pm,n,mf,17.78888321,14.84886456,119.4020844,32.47292328
He is young. She too is old.,old-young,n,mp,n,mf,20.92232895,17.76061344,120.0863953,33.29065704
He is not old. She too is old.,old-young,n,pp,y,mf,16.51027679,14.89004517,120.1695023,34.77649689
He is not young. She too is young.,old-young,n,mm,y,mf,17.97618866,13.52556896,126.2287827,35.49920654
He is not old. She too is young.,old-young,n,pm,y,mf,17.13319016,17.01273155,122.3219223,33.75602722
He is not young. She too is old.,old-young,n,mp,y,mf,16.94465256,21.52360916,125.6013412,35.21463013
She is old. He too is old.,old-young,n,pp,n,fm,3.859218597,7.565172195,102.4391785,29.41517258
She is young. He too is young.,old-young,n,mm,n,fm,3.525024414,5.286072731,118.3681412,28.49790573
She is old. He too is young.,old-young,n,pm,n,fm,18.63127899,15.28827095,102.7004395,33.3883667
She is young. He too is old.,old-young,n,mp,n,fm,18.27035141,14.95727634,114.5300598,32.3776474
She is not old. He too is old.,old-young,n,pp,y,fm,16.8288269,14.25685406,109.184433,34.90274048
She is not young. He too is young.,old-young,n,mm,y,fm,18.29941177,12.50868607,117.3355713,35.8064537
She is not old. He too is young.,old-young,n,pm,y,fm,18.09259415,17.7044611,103.0117111,34.37005615
She is not young. He too is old.,old-young,n,mp,y,fm,18.09496689,19.55707073,120.1659393,35.05633163
He is quiet. She too is quiet.,quiet-restless,n,pp,n,mf,3.874977112,6.880346298,120.0105438,30.21258926
He is restless. She too is restless.,quiet-restless,n,mm,n,mf,2.167316437,6.243890762,117.6301117,30.80661774
He is quiet. She too is restless.,quiet-restless,n,pm,n,mf,27.60591125,21.69691372,120.0304413,38.84321594
He is restless. She too is quiet.,quiet-restless,n,mp,n,mf,26.77052689,21.14170074,121.5996552,38.46292877
He is not quiet. She too is quiet.,quiet-restless,n,pp,y,mf,18.84710312,13.61178303,123.2395782,34.67058563
He is not restless. She too is restless.,quiet-restless,n,mm,y,mf,19.77750778,18.79534531,122.8343582,40.23003006
He is not quiet. She too is restless.,quiet-restless,n,pm,y,mf,23.74468231,26.73798943,128.5631714,37.48819351
He is not restless. She too is quiet.,quiet-restless,n,mp,y,mf,21.27437592,25.00887775,130.3882446,42.29244995
She is quiet. He too is quiet.,quiet-restless,n,pp,n,fm,4.089069366,7.237370491,118.4534302,29.72982788
She is restless. He too is restless.,quiet-restless,n,mm,n,fm,1.893245697,5.38169384,118.443985,30.85911751
She is quiet. He too is restless.,quiet-restless,n,pm,n,fm,26.85996628,21.10350513,123.558548,38.35836411
She is restless. He too is quiet.,quiet-restless,n,mp,n,fm,28.44742584,20.67959738,122.9377365,37.9227829
She is not quiet. He too is quiet.,quiet-restless,n,pp,y,fm,19.58601761,13.86337757,99.62498474,35.58934402
She is not restless. He too is restless.,quiet-restless,n,mm,y,fm,21.27807617,17.85631132,118.9373474,40.58189774
She is not quiet. He too is restless.,quiet-restless,n,pm,y,fm,25.61440659,25.84407139,128.0956573,38.42665863
She is not restless. He too is quiet.,quiet-restless,n,mp,y,fm,22.39992142,25.09610748,116.1523743,41.88634491
He is lucky. She too is lucky.,lucky-unlucky,y,pp,n,mf,3.659553528,7.057495117,96.80142212,30.27098274
He is unlucky. She too is unlucky.,lucky-unlucky,y,mm,n,mf,3.656894684,5.38487339,140.1434937,31.83879089
