pos_adj,neg_adj,transparency
old,young,n
quiet,restless,n
lucky,unlucky,y
tall,short,n
nice,nasty,n
nice,mean,n
kind,unkind,y
kind,mean,n
kind,nasty,n
friendly,nasty,n
friendly,mean,n
friendly,unfriendly,y
good,bad,n
strong,weak,n
polite,rude,n
polite,impolite,y
courteous,rude,n
courteous,discourteous,y
useful,useless,-
fair,unfair,y
just,unjust,y
attractive,unattractive,y
beautiful,ugly,n
pretty,ugly,n
ambitious,unambitious,y
hardworking,lazy,n
talkative,taciturn,n
social,antisocial,y
social,aloof,n
social,unsocial,y
intelligent,unintelligent,y
intelligent,dumb,n
clever,dumb,n
smart,dumb,n
intelligent,stupid,n
clever,stupid,n
smart,stupid,n
charitable,uncharitable,y
careful,careless,-
clean,dirty,n
wise,unwise,y
wise,foolish,n
cheerful,gloomy,n
dextrous,clumsy,n
graceful,graceless,-
graceful,ungraceful,y
graceful,clumsy,n
honest,dishonest,y
modest,arrogant,n
modest,immodest,y
humble,arrogant,n
innocent,guilty,n
energetic,lazy,n
loyal,disloyal,y
mature,immature,y
normal,strange,n
obedient,disobedient,y
optimist,pessimist,-
patient,impatient,y
prudent,imprudent,y
qualified,unqualified,y
skilled,unskilled,y
quiet,loud,n
sane,crazy,n
sane,insane,y
altruistic,selfish,n
well,sick,n
well,ill,n
well,unwell,y
healthy,ill,n
healthy,sick,n
slim,fat,n
fast,slow,n
valuable,valueless,y
interesting,boring,n
interesting,dull,n
interesting,uninteresting,y
fun,boring,n
fun,dull,n
entertaining,boring,n
entertaining,dull,n
organized,messy,n
tidy,messy,n
organized,disorganized,y
capable,incapable,y
generous,selfish,n
generous,stingy,n
happy,sad,n
happy,unhappy,y
wealthy,poor,n
rich,poor,n
communicative,uncommunicative,y
convincing,unconvincing,y
desirable,undesirable,y
determined,undetermined,y
manageable,unmanageable,y
predictable,unpredictable,y
reasonable,unreasonable,y
remarkable,unremarkable,y
sophisticated,unsophisticated,y
successful,unsuccessful,y
truthful,untruthful,y
perfect,imperfect,y
brave,cowardly,n
courageous,cowardly,n
relaxed,nervous,n
efficient,inefficient,y
effective,ineffective,y
attentive,inattentive,y
sensible,insensible,y
popular,unpopular,y
