pos_adj,neg_adj,transparency
old,young,n
quiet,rest-less,n
luck-y,un+luck-y,y
tall,short,n
nice,nasty,n
nice,mean,n
kind,un+kind,y
kind,mean,n
kind,nasty,n
friend-ly,nasty,n
friend-ly,mean,n
friend-ly,un+friend-ly,y
good,bad,n
strong,weak,n
polite,rude,n
polite,im+polite,y
courteous,rude,n
courteous,dis+courteous,y
use-ful,use-less,-
fair,un+fair,y
just,un+just,y
attract-ive,un+attract-ive,y
beauti-ful,ugly,n
pretty,ugly,n
ambiti-ous,un+ambiti-ous,y
hard-work-ing,lazy,n
talk-ative,taciturn,n
social,anti+social,y
social,aloof,n
social,un+social,y
intelligent,un+intelligent,y
intelligent,dumb,n
clever,dumb,n
smart,dumb,n
intelligent,stupid,n
clever,stupid,n
smart,stupid,n
charit-able,un+charit-able,y
care-ful,care-less,-
clean,dirty,n
wise,un+wise,y
wise,fool-ish,n
cheer-ful,gloomy,n
dextrous,clumsy,n
grace-ful,grace-less,-
grace-ful,un+grace-ful,y
grace-ful,clumsy,n
honest,dis+honest,y
modest,arrogant,n
modest,im+modest,y
humble,arrogant,n
innocent,guilty,n
energe-tic,lazy,n
loy-al,dis+loy-al,y
mature,im+mature,y
norm-al,strange,n
obe-dient,dis+obe-dient,y
optimist,pessimist,-
patient,im+patient,y
prudent,im+prudent,y
qualifi-ed,un+qualifi-ed,y
skill-ed,un+skill-ed,y
quiet,loud,n
sane,crazy,n
sane,in+sane,y
altruist-ic,self-ish,n
well,sick,n
well,ill,n
well,un+well,y
health-y,ill,n
health-y,sick,n
slim,fat,n
fast,slow,n
valu-able,value+less,y
interest-ing,boring,n
interest-ing,dull,n
interest-ing,un+interest-ing,y
fun,boring,n
fun,dull,n
entertain-ing,boring,n
entertain-ing,dull,n
organiz-ed,mess-y,n
tidy,mess-y,n
organiz-ed,dis+organiz-ed,y
capable,in+capable,y
generous,self-ish,n
generous,stingy,n
happy,sad,n
happy,un+happy,y
wealth-y,poor,n
rich,poor,n
communicat-ive,un+communicat-ive,y
convinc-ing,un+convinc-ing,y
desir-able,un+desir-able,y
determin-ed,un+determin-ed,y
manage-able,un+manage-able,y
predict-able,un+predict-able,y
reason-able,un+reason-able,y
remark-able,un+remark-able,y
sophisticat-ed,un+sophisticat-ed,y
success-ful,un+success-ful,y
truth-ful,un+truth-ful,y
perfect,im+perfect,y
brave,coward-ly,n
courage-ous,coward-ly,n
relax-ed,nerv-ous,n
efficient,in+efficient,y
effect-ive,in+effect-ive,y
attent-ive,in+attent-ive,y
sens-ible,in+sens-ible,y
popular,un+popular,y
